,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
301,1629673,Jordan Poole,67,244,80,1,50,42,15
303,1630631,Jose Alvarado,45,94,90,2,29,20,11
304,1630528,Josh Christopher,65,130,109,1,10,28,7
305,1630581,Josh Giddey,54,283,73,0,18,57,14
306,1630182,Josh Green,58,155,68,4,30,27,11
307,1628404,Josh Hart,54,375,97,2,28,54,22
308,1628367,Josh Jackson,45,129,37,8,13,25,19
309,1629006,Josh Okogie,43,105,47,3,26,18,19
310,1626196,Josh Richardson,56,205,84,0,37,28,16
311,1630563,Joshua Primo,41,174,32,3,14,17,12
312,201950,Jrue Holiday,60,382,168,3,37,60,44
313,1629308,Juan Toscano-Anderson,68,211,87,0,137,28,50
314,1627823,Juancho Hernangomez,32,60,11,0,7,7,8
315,203944,Julius Randle,69,445,80,0,421,58,89
317,1630551,Justin Champagnie,35,57,9,0,5,9,3
318,203200,Justin Holiday,66,327,124,2,75,34,44
320,1629620,Justin Robinson,25,45,18,3,0,8,3
321,1626159,Justise Winslow,48,171,45,2,40,27,25
322,203994,Jusuf Nurkic,56,426,118,1,661,56,165
324,1629644,KZ Okpala,21,54,9,0,26,3,19
326,1626157,Karl-Anthony Towns,67,632,122,0,512,55,147
327,1626208,Keifer Sykes,28,64,28,0,4,7,3
328,1628966,Keita Bates-Diop,52,216,51,0,57,19,20
329,1629103,Kelan Martin,30,86,27,0,5,8,7
330,1629640,Keldon Johnson,67,378,92,1,124,42,87
331,1629833,Keljin Blevins,21,19,8,0,0,2,1
332,203482,Kelly Olynyk,35,198,63,5,148,20,30
333,1626162,Kelly Oubre Jr.,67,251,170,0,34,51,15
334,202689,Kemba Walker,37,169,43,11,11,24,5
335,1629026,Kenrich Williams,49,183,53,9,38,36,41
336,203145,Kent Bazemore,37,102,35,1,16,9,7
337,203484,Kentavious Caldwell-Pope,69,188,132,1,68,54,48
338,1630231,Kenyon Martin Jr.,70,277,44,1,164,41,40
339,1630553,Keon Johnson,27,72,28,0,3,9,7
340,1630556,Kessler Edwards,39,204,41,0,46,7,33
341,201142,Kevin Durant,46,355,69,1,33,40,41
342,1628989,Kevin Huerter,65,323,114,0,44,36,26
343,1628995,Kevin Knox II,26,34,5,0,4,6,6
344,201567,Kevin Love,65,305,38,23,126,30,99
345,1630698,Kevin Pangos,24,20,5,1,6,4,1
346,1629645,Kevin Porter Jr.,52,242,114,1,21,45,21
347,1626172,Kevon Looney,73,635,83,1,614,50,186
348,203920,Khem Birch,47,257,53,1,217,21,73
349,203114,Khris Middleton,59,309,130,1,53,31,49
350,1630165,Killian Hayes,57,279,138,2,35,37,23
351,1629681,Killian Tillie,36,98,34,2,10,11,17
352,1630184,Kira Lewis Jr.,24,54,28,1,4,6,0
353,202691,Klay Thompson,26,123,35,0,15,9,10
355,204001,Kristaps Porzingis,43,394,51,0,212,17,74
356,203937,Kyle Anderson,61,292,126,1,94,30,45
358,1628398,Kyle Kuzma,66,447,55,2,93,30,71
359,200768,Kyle Lowry,56,216,124,25,86,46,68
361,200746,LaMarcus Aldridge,45,382,40,0,264,15,99
