,NAME,ORPM,DRPM,RPM,WINS,PLAYER_ID
3,Terence Davis,2.58,-1.84,0.74,2.24,1629056
23,Oshae Brissett,-0.66,-2.32,-2.98,1.58,1629052
32,Goga Bitadze,1.85,-2.15,-0.30,1.93,1629048
10,Luka Doncic,5.17,1.07,6.24,15.07,1629029
20,Deandre Ayton,-1.00,4.23,3.24,7.73,1629028
9,Trae Young,5.50,0.87,6.37,17.24,1629027
17,Kenrich Williams,-0.36,-1.91,-2.27,1.94,1629026
2,P.J. Washington,0.68,-1.23,-0.55,4.54,1629023
3,Lonnie Walker IV,1.40,-4.64,-3.24,1.57,1629022
16,Moritz Wagner,3.98,-3.69,0.29,3.19,1629021
6,Jarred Vanderbilt,-2.79,3.40,0.61,6.02,1629020
23,Gary Trent Jr.,-0.59,3.70,3.11,10.63,1629018
27,Anfernee Simons,2.16,-2.31,-0.15,5.37,1629014
5,Landry Shamet,-0.47,-1.65,-2.12,2.30,1629013
39,Mitchell Robinson,-0.66,4.66,4.00,9.50,1629011
0,Josh Okogie,-2.45,-2.74,-5.19,-0.29,1629006
32,Svi Mykhailiuk,-0.56,-3.39,-3.95,0.30,1629004
2,Shake Milton,-1.21,-3.26,-4.48,0.01,1629003
36,Chimezie Metu,-0.47,0.13,-0.35,3.50,1629002
37,De'Anthony Melton,0.85,-1.24,-0.39,4.88,1629001
5,Cody Martin,-1.46,-1.82,-3.28,1.56,1628998
36,Caleb Martin,-0.52,-0.78,-1.30,3.10,1628997
35,Kevin Knox II,0.01,-3.64,-3.62,0.14,1628995
36,Alize Johnson,-2.45,-3.50,-5.94,-0.19,1628993
11,Jaren Jackson Jr.,0.03,6.12,6.15,14.13,1628991
8,Kevin Huerter,-0.96,1.46,0.50,6.63,1628989
9,Aaron Holiday,-1.31,-1.39,-2.70,1.22,1628988
6,Devonte' Graham,0.16,2.05,2.21,9.25,1628984
5,Shai Gilgeous-Alexander,2.50,1.24,3.74,10.94,1628983
0,Bruno Fernando,-0.66,-3.00,-3.65,0.09,1628981
16,Donte DiVincenzo,-0.38,-3.82,-4.20,0.19,1628978
14,Hamidou Diallo,-0.84,0.00,-0.84,3.38,1628977
38,Wendell Carter Jr.,0.43,3.58,4.00,10.41,1628976
19,Jevon Carter,-1.15,-3.63,-4.79,-0.21,1628975
4,Jalen Brunson,0.03,0.67,0.71,8.44,1628973
38,Troy Brown Jr.,-1.52,-3.59,-5.11,-0.53,1628972
31,Bruce Brown,-2.04,0.83,-1.22,3.63,1628971
29,Miles Bridges,1.21,3.38,4.58,15.86,1628970
4,Mikal Bridges,-1.03,4.78,3.75,14.60,1628969
38,Keita Bates-Diop,-1.94,-1.69,-3.63,0.57,1628966
27,Mo Bamba,-1.74,3.13,1.39,6.53,1628964
28,Marvin Bagley III,-0.38,-1.36,-1.75,2.12,1628963
28,Grayson Allen,-0.12,1.39,1.27,6.94,1628960
27,Torrey Craig,-0.47,-3.42,-3.88,0.68,1628470
22,Maxi Kleber,-0.52,-0.52,-1.04,3.60,1628467
7,Daniel Theis,-0.31,-1.11,-1.42,1.71,1628464
35,Chris Boucher,1.20,-1.54,-0.34,4.97,1628449
28,Davon Reed,-0.62,-1.78,-2.41,0.89,1628432
36,Sterling Brown,-1.78,-2.63,-4.41,0.04,1628425
32,Monte Morris,-1.24,5.68,4.45,11.36,1628420
27,Thomas Bryant,0.70,-2.45,-1.75,0.84,1628418
0,Dillon Brooks,1.24,-0.46,0.78,2.57,1628415
7,Josh Hart,0.22,1.95,2.17,8.07,1628404
27,Frank Jackson,1.20,-4.25,-3.05,1.14,1628402
39,Derrick White,1.03,1.38,2.41,9.75,1628401
7,Semi Ojeleye,-3.39,-3.33,-6.72,-0.78,1628400
13,Kyle Kuzma,-0.51,2.49,1.98,9.47,1628398
34,Tony Bradley,-2.22,-1.74,-3.96,0.23,1628396
9,Isaiah Hartenstein,0.76,-1.48,-0.73,3.24,1628392
1,Bam Adebayo,-1.26,5.06,3.80,8.62,1628389
35,Jarrett Allen,-0.50,4.79,4.29,10.58,1628386
14,OG Anunoby,-0.44,2.42,1.98,6.61,1628384
15,John Collins,-0.17,3.61,3.44,8.64,1628381
26,Luke Kennard,-0.34,-2.71,-3.05,2.01,1628379
8,Donovan Mitchell,5.21,1.25,6.46,15.12,1628378
5,Lauri Markkanen,0.41,1.85,2.26,7.62,1628374
22,Frank Ntilikina,-1.09,-2.39,-3.48,0.55,1628373
5,Dennis Smith Jr.,-1.27,-2.77,-4.03,0.25,1628372
26,Malik Monk,1.20,-2.27,-1.06,4.91,1628370
3,Jayson Tatum,3.12,5.52,8.64,22.11,1628369
10,De'Aaron Fox,1.71,-1.26,0.45,7.36,1628368
21,Josh Jackson,-0.42,-3.42,-3.84,0.39,1628367
18,Lonzo Ball,-0.79,0.86,0.07,3.84,1628366
12,David Nwaba,-0.28,-2.43,-2.72,0.92,1628021
11,Alex Caruso,-1.25,-1.47,-2.71,1.39,1627936
10,Derrick Jones Jr.,-0.61,-3.12,-3.74,0.49,1627884
31,Danuel House Jr.,-1.17,-3.21,-4.38,0.05,1627863
23,Bryn Forbes,0.29,-4.14,-3.85,0.64,1627854
26,Fred VanVleet,1.61,3.18,4.79,13.78,1627832
29,Dorian Finney-Smith,-1.57,4.20,2.63,11.46,1627827
33,Ivica Zubac,-2.65,5.18,2.53,7.47,1627826
28,Juancho Hernangomez,-2.86,-2.05,-4.91,-0.09,1627823
39,Damion Lee,-0.51,-2.67,-3.18,1.22,1627814
39,Timothe Luwawu-Cabarrot,-1.47,-2.98,-4.45,0.02,1627789
18,Furkan Korkmaz,-0.08,-2.20,-2.28,2.23,1627788
37,Pascal Siakam,-0.13,4.17,4.03,12.83,1627783
30,Gary Payton II,1.50,-0.30,1.20,4.87,1627780
14,Georges Niang,0.38,-3.78,-3.40,1.35,1627777
