,PLAYER,GP,PER
8,Nickeil Alexander-Walker,61,10.58
9,James Johnson,57,10.55
11,Tre Mann,59,10.54
12,JT Thor,29,10.53
13,Trey Burke,38,10.51
14,Jaden McDaniels,67,10.50
15,Isaac Okoro,58,10.50
16,Donte DiVincenzo,34,10.44
17,Davion Mitchell,67,10.44
18,Frank Jackson,45,10.37
19,Landry Shamet,61,10.36
20,Frank Ntilikina,54,10.36
26,Dean Wade,51,10.22
28,Rajon Rondo,35,10.20
29,David Duke Jr.,21,10.19
30,Joe Ingles,45,10.18
33,Terrence Ross,60,10.17
34,Jarrett Culver,33,10.17
35,Talen Horton-Tucker,52,10.03
36,Aaron Wiggins,45,10.00
37,Matt Thomas,40,9.93
39,Kira Lewis Jr.,24,9.92
40,Dalano Banton,61,9.89
42,Jordan Nwora,57,9.83
44,Wayne Ellington,40,9.81
45,Moses Moody,47,9.80
48,Svi Mykhailiuk,53,9.73
50,Joe Wieskamp,23,9.66
51,Justin Holiday,66,9.66
52,Troy Brown Jr.,61,9.65
53,Duane Washington Jr.,42,9.62
0,Ed Davis,27,9.57
1,Kelan Martin,30,9.56
3,Josh Jackson,45,9.55
6,Romeo Langford,45,9.46
7,CJ Elleby,49,9.43
9,Theo Maledon,46,9.32
11,Dylan Windler,43,9.21
12,Jevon Carter,59,9.12
13,Danny Green,53,9.09
14,Garrett Temple,56,9.06
15,Reggie Bullock,60,9.01
16,Tomas Satoransky,46,9.00
17,Ziaire Williams,54,8.95
20,R.J. Hampton,56,8.88
22,Vit Krejci,21,8.87
24,Jalen Suggs,46,8.81
26,Kevin Knox II,26,8.69
27,Killian Hayes,58,8.68
28,Timothe Luwawu-Cabarrot,45,8.58
30,Armoni Brooks,49,8.56
33,Ignas Brazdeikis,35,8.52
35,Sterling Brown,48,8.42
39,Elfrid Payton,47,8.26
44,Juancho Hernangomez,33,8.20
45,Denzel Valentine,24,8.16
46,Kessler Edwards,39,8.16
47,Jake Layman,31,8.05
49,Davis Bertans,48,7.98
50,Austin Rivers,59,7.95
51,Keon Johnson,28,7.93
52,Joshua Primo,41,7.86
53,Avery Bradley,58,7.83
2,Maurice Harkless,47,7.74
3,Killian Tillie,36,7.73
6,Santi Aldama,28,7.66
8,Josh Okogie,44,7.65
9,Brad Wanamaker,23,7.64
11,Admiral Schofield,33,7.62
12,Isaiah Joe,51,7.44
15,Miles McBride,34,7.15
19,Rodney Hood,48,6.96
20,Trevor Ariza,22,6.86
22,Kent Bazemore,37,6.82
23,Semi Ojeleye,30,6.77
24,Wesley Matthews,42,6.72
25,Elijah Hughes,29,6.62
27,Charlie Brown Jr.,21,6.60
28,Kevin Pangos,24,6.57
30,Aaron Nesmith,46,6.11
34,Tony Snell,49,5.99
40,Ish Wainright,41,5.45
41,Keljin Blevins,22,5.37
42,Keifer Sykes,28,5.28
44,Chris Chiozza,33,4.99
50,Leandro Bolmaro,32,3.76
51,Justin Robinson,25,3.73
