,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS,USG_PCT,HUSTLE_POINTS,RPM,WINS,PER,CAREER_TOTAL_FANTASY_PTS,cum_id,ID_MATCH
53,1630233,Nathan Knight,36,269.9,7.5,0.193,264.57,-2.17,0.46,17.82,500.3,1630233,True
54,1630231,Kenyon Martin Jr.,73,1273.0,17.44,0.16,1012.33,-4.00,0.62,14.90,2091.4,1630231,True
55,1630230,Naji Marshall,48,554.6,11.55,0.198,470.61,-1.66,1.47,12.14,1109.2,1630230,True
56,1630228,Jonathan Kuminga,64,1005.2,15.71,0.228,731.14,-1.33,2.52,14.81,959.2,1630228,True
57,1630224,Jalen Green,61,1512.2,24.79,0.23,985.6,-1.07,4.44,11.64,1454.2,1630224,True
58,1630219,Skylar Mays,25,145.0,5.8,0.15,148.9,-4.03,0.07,12.66,372.0,1630219,True
59,1630217,Desmond Bane,72,2229.2,30.96,0.226,1434.94,5.38,13.99,17.59,3226.2,1630217,True
60,1630215,Jared Butler,38,290.2,7.64,0.231,130.62,-2.40,0.53,12.12,270.2,1630215,True
61,1630214,Xavier Tillman,48,617.4,12.86,0.168,704.16,-2.15,1.14,15.85,1476.1,1630214,True
62,1630210,Markus Howard,29,138.8,4.79,0.251,62.52,-1.64,0.34,15.50,280.0,1630210,True
63,1630209,Omer Yurtseven,52,743.3,14.29,0.194,617.78,-1.83,1.19,18.21,709.3,1630209,True
64,1630208,Nick Richards,47,326.9,6.96,0.145,220.0,-3.78,0.21,16.07,326.1,1630208,True
65,1630205,Lamar Stevens,56,627.8,11.21,0.168,480.24,-4.34,0.09,11.34,940.5,1630205,True
66,1630202,Payton Pritchard,65,755.1,11.62,0.179,567.04,-2.60,1.36,14.47,1648.7,1630202,True
67,1630201,Malachi Flynn,40,390.9,9.77,0.155,433.89,-2.50,0.73,12.55,1113.6,1630201,True
68,1630200,Tre Jones,62,835.5,13.48,0.147,738.58,-3.37,0.89,14.04,976.2,1630200,True
69,1630198,Isaiah Joe,51,314.5,6.17,0.141,329.46,-4.94,-0.21,7.37,546.7,1630198,True
70,1630197,Aleksej Pokusevski,58,1071.2,18.47,0.194,764.91,-1.01,3.03,12.06,1789.1,1630197,True
71,1630195,Leandro Bolmaro,33,116.3,3.52,0.115,172.29,-7.14,-0.52,4.34,110.3,1630195,True
72,1630194,Paul Reed,33,281.9,8.54,0.139,411.72,-2.43,0.40,16.95,459.1,1630194,True
73,1630193,Immanuel Quickley,72,1413.1,19.63,0.211,973.42,-1.90,3.26,13.95,2476.0,1630193,True
74,1630192,Zeke Nnaji,40,526.5,13.16,0.145,465.3,-3.39,0.56,14.34,743.5,1630192,True
75,1630191,Isaiah Stewart,64,1500.6,23.45,0.143,1130.67,-0.04,4.65,13.84,2758.7,1630191,True
76,1630190,Elijah Hughes,30,216.8,7.23,0.155,142.21,-4.49,-0.00,6.36,250.6,1630190,True
77,1630188,Jalen Smith,47,891.0,18.96,0.188,468.03,-0.76,2.39,18.82,948.4,1630188,True
78,1630184,Kira Lewis Jr.,24,271.3,11.3,0.209,233.14,-4.01,0.15,9.93,935.5,1630184,True
79,1630183,Jaden McDaniels,67,1324.9,19.77,0.15,1434.55,-1.17,4.25,10.43,2176.8,1630183,True
80,1630182,Josh Green,60,680.7,11.34,0.13,797.74,-3.93,0.41,11.95,884.3,1630182,True
81,1630181,R.J. Hampton,58,910.7,15.7,0.177,800.81,-5.53,-1.02,8.74,1567.0,1630181,True
